1, 37574, Tempo, 363636
1, 37689, Tempo, 357142
1, 37804, Tempo, 350877
1, 37919, Tempo, 344827
1, 37920, Tempo, 350877
1, 38064, Tempo, 368098
1, 38352, Tempo, 363636
1, 38496, Tempo, 357142
1, 38640, Tempo, 350877
1, 38784, Tempo, 357142
1, 40080, Tempo, 368098
1, 40224, Tempo, 357142
1, 40368, Tempo, 368098
1, 40512, Tempo, 344827
1, 40800, Tempo, 363636
1, 41088, Tempo, 357142
1, 41664, Tempo, 444444
1, 42240, Tempo, 357142
1, 42816, Tempo, 444444
1, 43392, Tempo, 357142
1, 43968, Tempo, 350877
1, 44544, Tempo, 344827
1, 45120, Tempo, 340909
1, 45408, Tempo, 344827
1, 45696, Tempo, 357142
1, 45936, Tempo, 2222222
1, 46008, Tempo, 7500000
1, 46032, Tempo, 368098
1, 46176, Tempo, 357142
1, 46320, Tempo, 363636
1, 46464, Tempo, 368098
1, 46608, Tempo, 357142
1, 46752, Tempo, 363636
1, 46896, Tempo, 368098
1, 47040, Tempo, 357142
1, 47184, Tempo, 363636
1, 47328, Tempo, 368098
1, 47472, Tempo, 357142
1, 47616, Tempo, 363636
1, 48192, Tempo, 368098
1, 48336, Tempo, 357142
1, 48480, Tempo, 363636
1, 48624, Tempo, 382165
1, 48768, Tempo, 357142
1, 49056, Tempo, 382165
1, 49200, Tempo, 357142
1, 49488, Tempo, 382165
1, 49632, Tempo, 357142
1, 49920, Tempo, 382165
1, 50064, Tempo, 357142
1, 50496, Tempo, 368098
1, 50640, Tempo, 357142
1, 50784, Tempo, 363636
1, 51216, Tempo, 350877
1, 51648, Tempo, 363636
1, 52080, Tempo, 350877
1, 52512, Tempo, 363636
1, 52944, Tempo, 357142
1, 56256, Tempo, 368098
1, 56400, Tempo, 363636
1, 56544, Tempo, 357142
1, 56688, Tempo, 350877
1, 56832, Tempo, 357142
1, 57408, Tempo, 368098
1, 57552, Tempo, 363636
1, 57696, Tempo, 357142
1, 57840, Tempo, 350877
1, 57984, Tempo, 357142
1, 59136, Tempo, 363636
1, 59712, Tempo, 368098
1, 59856, Tempo, 350877
1, 60000, Tempo, 344827
1, 60144, Tempo, 350877
1, 60288, Tempo, 357142
1, 60432, Tempo, 350877
1, 60576, Tempo, 344827
1, 60720, Tempo, 350877
1, 60864, Tempo, 357142
1, 61008, Tempo, 350877
1, 61152, Tempo, 344827
1, 61296, Tempo, 350877
1, 62016, Tempo, 357142
1, 62592, Tempo, 350877
1, 62880, Tempo, 344827
1, 63168, Tempo, 375000
1, 63312, Tempo, 368098
1, 63456, Tempo, 363636
1, 63600, Tempo, 357142
1, 63744, Tempo, 350877
1, 63888, Tempo, 357142
1, 64032, Tempo, 363636
1, 64176, Tempo, 368098
1, 64320, Tempo, 357142
1, 64608, Tempo, 375000
1, 64752, Tempo, 368098
1, 64896, Tempo, 363636
1, 65040, Tempo, 357142
1, 65184, Tempo, 350877
1, 65328, Tempo, 357142
1, 65472, Tempo, 363636
1, 65616, Tempo, 368098
1, 65760, Tempo, 375000
1, 65904, Tempo, 368098
1, 66048, Tempo, 363636
1, 66192, Tempo, 357142
1, 66336, Tempo, 350877
1, 66480, Tempo, 357142
1, 66624, Tempo, 363636
1, 66768, Tempo, 368098
1, 66912, Tempo, 375000
1, 67056, Tempo, 368098
1, 67200, Tempo, 363636
1, 67344, Tempo, 357142
1, 67488, Tempo, 350877
1, 67632, Tempo, 357142
1, 67776, Tempo, 363636
1, 67920, Tempo, 357142
1, 68064, Tempo, 368098
1, 68208, Tempo, 357142
1, 68640, Tempo, 368098
1, 68784, Tempo, 357142
1, 69216, Tempo, 368098
1, 69360, Tempo, 357142
1, 69792, Tempo, 368098
1, 69936, Tempo, 357142
1, 70368, Tempo, 368098
1, 70512, Tempo, 357142
1, 70656, Tempo, 368098
1, 70800, Tempo, 357142
1, 70944, Tempo, 368098
1, 71088, Tempo, 357142
1, 71232, Tempo, 368098
1, 71376, Tempo, 357142
1, 71520, Tempo, 368098
1, 71712, Tempo, 363636
1, 71904, Tempo, 357142
1, 72095, Tempo, 350877
1, 72192, Tempo, 357142
1, 72288, Tempo, 363636
1, 72383, Tempo, 368098
1, 72384, Tempo, 363636
1, 72960, Tempo, 357142
1, 74256, Tempo, 368098
1, 74400, Tempo, 357142
1, 74544, Tempo, 368098
1, 74688, Tempo, 344827
1, 74976, Tempo, 363636
1, 75264, Tempo, 357142
1, 75840, Tempo, 434782
1, 76416, Tempo, 357142
1, 77568, Tempo, 434782
1, 78144, Tempo, 357142
1, 78720, Tempo, 350877
1, 79296, Tempo, 344827
1, 79872, Tempo, 340909
1, 80160, Tempo, 344827
1, 80448, Tempo, 357142
1, 80688, Tempo, 2222222
1, 80760, Tempo, 7500000
1, 80784, Tempo, 368098
1, 80928, Tempo, 357142
1, 81072, Tempo, 363636
1, 81216, Tempo, 368098
1, 81360, Tempo, 357142
1, 81504, Tempo, 363636
1, 81648, Tempo, 368098
1, 81792, Tempo, 357142
1, 81936, Tempo, 363636
1, 82080, Tempo, 368098
1, 82224, Tempo, 357142
1, 82368, Tempo, 363636
1, 82944, Tempo, 368098
1, 83088, Tempo, 357142
1, 83232, Tempo, 363636
1, 83376, Tempo, 382165
1, 83520, Tempo, 357142
1, 83808, Tempo, 382165
1, 83952, Tempo, 357142
1, 84240, Tempo, 382165
1, 84384, Tempo, 357142
1, 84672, Tempo, 382165
1, 84816, Tempo, 357142
1, 85248, Tempo, 368098
1, 85392, Tempo, 357142
1, 85536, Tempo, 363636
1, 85968, Tempo, 350877
1, 86400, Tempo, 363636
1, 86832, Tempo, 350877
1, 87264, Tempo, 363636
1, 87696, Tempo, 357142
1, 91008, Tempo, 368098
1, 91152, Tempo, 363636
1, 91296, Tempo, 357142
1, 91440, Tempo, 350877
1, 91584, Tempo, 357142
1, 92160, Tempo, 368098
1, 92304, Tempo, 363636
1, 92448, Tempo, 357142
1, 92592, Tempo, 350877
1, 92736, Tempo, 357142
1, 93888, Tempo, 363636
1, 94464, Tempo, 368098
1, 94608, Tempo, 350877
1, 94752, Tempo, 344827
1, 94896, Tempo, 350877
1, 95040, Tempo, 357142
1, 95184, Tempo, 350877
1, 95328, Tempo, 344827
1, 95472, Tempo, 350877
1, 95616, Tempo, 357142
1, 95760, Tempo, 350877
1, 95904, Tempo, 344827
1, 96048, Tempo, 350877
1, 96768, Tempo, 357142
1, 97344, Tempo, 350877
1, 97632, Tempo, 344827
1, 97920, Tempo, 375000
1, 98064, Tempo, 368098
1, 98208, Tempo, 363636
1, 98352, Tempo, 357142
1, 98496, Tempo, 350877
1, 98640, Tempo, 357142
1, 98784, Tempo, 363636
1, 98928, Tempo, 368098
1, 99072, Tempo, 357142
1, 99360, Tempo, 375000
1, 99504, Tempo, 368098
1, 99648, Tempo, 363636
1, 99792, Tempo, 357142
1, 99936, Tempo, 350877
1, 100080, Tempo, 357142
1, 100224, Tempo, 363636
1, 100368, Tempo, 368098
1, 100512, Tempo, 375000
1, 100656, Tempo, 368098
1, 100800, Tempo, 363636
1, 100944, Tempo, 357142
1, 101088, Tempo, 350877
1, 101232, Tempo, 357142
1, 101376, Tempo, 363636
1, 101520, Tempo, 368098
1, 101664, Tempo, 375000
1, 101808, Tempo, 368098
1, 101952, Tempo, 363636
1, 102096, Tempo, 357142
1, 102240, Tempo, 350877
1, 102384, Tempo, 357142
1, 102528, Tempo, 363636
1, 102672, Tempo, 357142
1, 102816, Tempo, 368098
1, 102960, Tempo, 357142
1, 103392, Tempo, 368098
1, 103536, Tempo, 357142
1, 103968, Tempo, 368098
1, 104112, Tempo, 357142
1, 104544, Tempo, 368098
1, 104688, Tempo, 357142
1, 105120, Tempo, 368098
1, 105264, Tempo, 357142
1, 105408, Tempo, 368098
1, 105552, Tempo, 357142
1, 105696, Tempo, 368098
1, 105840, Tempo, 357142
1, 105984, Tempo, 368098
1, 106128, Tempo, 357142
1, 106272, Tempo, 368098
1, 106464, Tempo, 363636
1, 106656, Tempo, 357142
1, 106847, Tempo, 350877
1, 106944, Tempo, 357142
1, 107040, Tempo, 363636
1, 107135, Tempo, 368098
1, 107136, Tempo, 363636
1, 107712, Tempo, 357142
1, 109008, Tempo, 368098
1, 109152, Tempo, 357142
1, 109296, Tempo, 368098
1, 109440, Tempo, 344827
1, 109728, Tempo, 363636
1, 110016, Tempo, 357142
1, 110592, Tempo, 434782
1, 111168, Tempo, 357142
1, 112272, Tempo, 6000000
1, 112320, Tempo, 2222222
1, 112368, Tempo, 363636
1, 112512, Tempo, 357142
1, 112944, Tempo, 363636
1, 113088, Tempo, 357142
1, 113625, Tempo, 350877
1, 113730, Tempo, 344827
1, 113834, Tempo, 340909
1, 113939, Tempo, 335195
1, 114044, Tempo, 329670
1, 114148, Tempo, 326086
1, 114253, Tempo, 320855
1, 114358, Tempo, 315789
1, 114462, Tempo, 310880
1, 114567, Tempo, 307692
1, 114671, Tempo, 303030
1, 114672, Tempo, 344827
1, 115008, Tempo, 491803
1, 115056, Tempo, 375000
1, 118224, Time_signature, 2, 2, 24, 8
1, 118512, Time_signature, 12, 3, 24, 8
1, 119472, Tempo, 389610
1, 119664, Tempo, 375000
1, 121008, Tempo, 402684
1, 121200, Tempo, 382165
1, 122736, Tempo, 394736
1, 122832, Tempo, 382165
1, 125904, Tempo, 375000
1, 126384, Tempo, 368098
1, 126864, Tempo, 363636
1, 127343, Tempo, 357142
1, 127776, Tempo, 363636
1, 128016, Tempo, 368098
1, 128256, Tempo, 375000
1, 128304, Tempo, 382165
1, 130320, Tempo, 375000
1, 130704, Tempo, 368098
1, 131088, Tempo, 363636
1, 131471, Tempo, 357142
1, 131472, Tempo, 375000
1, 132720, Tempo, 389610
1, 132912, Tempo, 375000
1, 134256, Tempo, 402684
1, 134448, Tempo, 382165
1, 135984, Tempo, 394736
1, 136080, Tempo, 382165
1, 139152, Tempo, 375000
1, 139632, Tempo, 368098
1, 140112, Tempo, 363636
1, 140591, Tempo, 357142
1, 141024, Tempo, 363636
1, 141264, Tempo, 368098
1, 141504, Tempo, 375000
1, 141552, Tempo, 382165
1, 143568, Tempo, 375000
1, 143952, Tempo, 368098
1, 144336, Tempo, 363636
1, 144432, Tempo, 375000
1, 144624, Time_signature, 4, 2, 24, 8
1, 146160, Tempo, 368098
1, 146544, Tempo, 363636
1, 146928, Tempo, 402684
1, 147696, Tempo, 375000
1, 148464, Tempo, 368098
1, 148848, Tempo, 363636
1, 149232, Tempo, 402684
1, 150000, Tempo, 410958
1, 151920, Tempo, 555555
1, 151937, Tempo, 566037
1, 151954, Tempo, 582524
1, 151971, Tempo, 600000
1, 151987, Tempo, 618556
1, 152004, Tempo, 631578
1, 152021, Tempo, 652173
1, 152038, Tempo, 674157
1, 152054, Tempo, 689655
1, 152071, Tempo, 714285
1, 152088, Tempo, 740740
1, 152105, Tempo, 769230
1, 152121, Tempo, 789473
1, 152138, Tempo, 821917
1, 152155, Tempo, 857142
1, 152172, Tempo, 895522
1, 152188, Tempo, 923076
1, 152205, Tempo, 967741
1, 152222, Tempo, 1016949
1, 152239, Tempo, 1052631
1, 152255, Tempo, 1111111
1, 152256, Tempo, 12000000
1, 152280, Tempo, 3750000
1, 152304, Tempo, 344827
1, 152448, Tempo, 504201
1, 152592, Tempo, 344827
1, 152736, Tempo, 504201
1, 152880, Tempo, 363636
1, 153024, Tempo, 357142
1, 153168, Tempo, 491803
1, 153312, Tempo, 555555
1, 153456, Tempo, 368098
1, 153600, Tempo, 363636
1, 153744, Tempo, 350877
1, 153888, Tempo, 357142
1, 154032, Tempo, 368098
1, 154176, Tempo, 363636
1, 154320, Tempo, 350877
1, 154464, Tempo, 357142
1, 154608, Tempo, 368098
1, 154752, Tempo, 363636
1, 154896, Tempo, 350877
1, 155040, Tempo, 357142
1, 155184, Tempo, 368098
1, 155328, Tempo, 363636
1, 155472, Tempo, 350877
1, 155616, Tempo, 357142
1, 155760, Tempo, 368098
1, 155904, Tempo, 363636
1, 156048, Tempo, 350877
1, 156192, Tempo, 357142
1, 157920, Tempo, 368098
1, 158064, Tempo, 357142
1, 159216, Tempo, 350877
1, 159792, Tempo, 344827
1, 160224, Tempo, 340909
1, 160368, Tempo, 368098
1, 160512, Tempo, 357142
1, 160656, Tempo, 350877
1, 160800, Tempo, 357142
1, 160944, Tempo, 368098
1, 161088, Tempo, 357142
1, 161232, Tempo, 350877
1, 161376, Tempo, 357142
1, 161520, Tempo, 368098
1, 161664, Tempo, 357142
1, 161808, Tempo, 350877
1, 161952, Tempo, 357142
1, 162096, Tempo, 368098
1, 162240, Tempo, 357142
1, 162384, Tempo, 350877
1, 162528, Tempo, 357142
1, 162672, Tempo, 368098
1, 162816, Tempo, 357142
1, 162960, Tempo, 350877
1, 163104, Tempo, 368098
1, 163248, Tempo, 375000
1, 163392, Tempo, 368098
1, 163536, Tempo, 363636
1, 163680, Tempo, 357142
1, 163824, Tempo, 350877
1, 163968, Tempo, 357142
1, 164112, Tempo, 363636
1, 164256, Tempo, 368098
1, 164400, Tempo, 375000
1, 164544, Tempo, 368098
1, 164688, Tempo, 363636
1, 164832, Tempo, 357142
1, 164976, Tempo, 350877
1, 165120, Tempo, 357142
1, 165264, Tempo, 363636
1, 165408, Tempo, 368098
1, 165696, Tempo, 357142
1, 166128, Tempo, 368098
1, 166272, Tempo, 357142
1, 166704, Tempo, 368098
1, 166848, Tempo, 357142
1, 167280, Tempo, 368098
1, 167424, Tempo, 357142
1, 167856, Tempo, 368098
1, 168000, Tempo, 350877
1, 168144, Tempo, 368098
1, 168288, Tempo, 350877
1, 168432, Tempo, 368098
1, 168576, Tempo, 350877
1, 168720, Tempo, 368098
1, 168864, Tempo, 350877
1, 169008, Tempo, 375000
1, 169123, Tempo, 368098
1, 169238, Tempo, 363636
1, 169353, Tempo, 357142
1, 169468, Tempo, 350877
1, 169583, Tempo, 344827
1, 169584, Tempo, 350877
1, 169728, Tempo, 368098
1, 170016, Tempo, 363636
1, 170160, Tempo, 357142
1, 170304, Tempo, 350877
1, 170448, Tempo, 357142
1, 171744, Tempo, 368098
1, 171888, Tempo, 357142
1, 172032, Tempo, 368098
1, 172176, Tempo, 344827
1, 172464, Tempo, 363636
1, 172752, Tempo, 357142
1, 173328, Tempo, 444444
1, 173904, Time_signature, 12, 3, 24, 8
1, 173904, Tempo, 357142
1, 174480, Tempo, 444444
1, 175056, Tempo, 357142
1, 175632, Tempo, 350877
1, 176208, Tempo, 344827
1, 176784, Tempo, 340909
1, 177072, Tempo, 344827
1, 177360, Tempo, 357142
1, 177600, Tempo, 2222222
1, 177672, Tempo, 7500000
1, 177696, Tempo, 368098
1, 177840, Tempo, 357142
1, 177984, Tempo, 363636
1, 178128, Tempo, 368098
1, 178272, Tempo, 357142
1, 178416, Tempo, 363636
1, 178560, Tempo, 368098
1, 178704, Tempo, 357142
1, 178848, Tempo, 363636
1, 178992, Tempo, 368098
1, 179136, Tempo, 357142
1, 179280, Tempo, 363636
1, 179856, Tempo, 368098
1, 180000, Tempo, 357142
1, 180144, Tempo, 363636
1, 180288, Tempo, 382165
1, 180432, Tempo, 357142
1, 180720, Tempo, 382165
1, 180864, Tempo, 357142
1, 181152, Tempo, 382165
1, 181296, Tempo, 357142
1, 181584, Tempo, 382165
1, 181728, Tempo, 357142
1, 182160, Tempo, 368098
1, 182304, Tempo, 357142
1, 182448, Tempo, 363636
1, 182880, Tempo, 350877
1, 183312, Tempo, 363636
1, 183744, Tempo, 350877
1, 184176, Tempo, 363636
1, 184608, Tempo, 357142
1, 187920, Tempo, 368098
1, 188064, Tempo, 363636
1, 188208, Tempo, 357142
1, 188352, Tempo, 350877
1, 188496, Tempo, 357142
1, 189072, Tempo, 368098
1, 189216, Tempo, 363636
1, 189360, Tempo, 357142
1, 189504, Tempo, 350877
1, 189648, Tempo, 357142
1, 190800, Tempo, 363636
1, 191376, Tempo, 368098
1, 191520, Tempo, 350877
1, 191664, Tempo, 344827
1, 191808, Tempo, 350877
1, 191952, Tempo, 357142
1, 192096, Tempo, 350877
1, 192240, Tempo, 344827
1, 192384, Tempo, 350877
1, 192528, Tempo, 357142
1, 192672, Tempo, 350877
1, 192816, Tempo, 344827
1, 192960, Tempo, 350877
1, 193680, Tempo, 357142
1, 194256, Tempo, 350877
1, 194544, Tempo, 344827
1, 194832, Tempo, 375000
1, 194976, Tempo, 368098
1, 195120, Tempo, 363636
1, 195264, Tempo, 357142
1, 195408, Tempo, 350877
1, 195552, Tempo, 357142
1, 195696, Tempo, 363636
1, 195840, Tempo, 368098
1, 195984, Tempo, 357142
1, 196272, Tempo, 375000
1, 196416, Tempo, 368098
1, 196560, Tempo, 363636
1, 196704, Tempo, 357142
1, 196848, Tempo, 350877
1, 196992, Tempo, 357142
1, 197136, Tempo, 363636
1, 197280, Tempo, 368098
