2, 1710, Note_on_c, 0, 57, 87
2, 1710, Note_on_c, 0, 54, 0
2, 1740, Note_on_c, 0, 50, 97
2, 1743, Note_on_c, 0, 57, 0
2, 1788, Note_on_c, 0, 50, 0
2, 1860, Note_on_c, 0, 74, 111
2, 1890, Note_on_c, 0, 72, 108
2, 1890, Note_on_c, 0, 74, 0
2, 1920, Note_on_c, 0, 74, 114
2, 1926, Note_on_c, 0, 72, 0
2, 1946, Note_on_c, 0, 74, 0
2, 1980, Note_on_c, 0, 67, 101
2, 1999, Note_on_c, 0, 67, 0
2, 2040, Note_on_c, 0, 59, 97
2, 2065, Note_on_c, 0, 59, 0
2, 2100, Note_on_c, 0, 74, 94
2, 2134, Note_on_c, 0, 74, 0
2, 2220, Note_on_c, 0, 76, 101
2, 2250, Note_on_c, 0, 74, 101
2, 2251, Note_on_c, 0, 76, 0
2, 2280, Note_on_c, 0, 76, 117
2, 2283, Note_on_c, 0, 74, 0
2, 2303, Note_on_c, 0, 76, 0
2, 2340, Note_on_c, 0, 69, 113
2, 2365, Note_on_c, 0, 69, 0
2, 2400, Note_on_c, 0, 60, 121
2, 2424, Note_on_c, 0, 60, 0
2, 2460, Note_on_c, 0, 76, 98
2, 2486, Note_on_c, 0, 76, 0
2, 2580, Note_on_c, 0, 78, 107
2, 2608, Note_on_c, 0, 78, 0
2, 2610, Note_on_c, 0, 76, 102
2, 2640, Note_on_c, 0, 78, 120
2, 2648, Note_on_c, 0, 76, 0
2, 2700, Note_on_c, 0, 74, 107
2, 2704, Note_on_c, 0, 78, 0
2, 2760, Note_on_c, 0, 81, 122
2, 2765, Note_on_c, 0, 74, 0
2, 2813, Note_on_c, 0, 81, 0
2, 2820, Note_on_c, 0, 72, 109
2, 2940, Note_on_c, 0, 71, 114
2, 2945, Note_on_c, 0, 72, 0
2, 2993, Note_on_c, 0, 71, 0
2, 3030, Note_on_c, 0, 67, 99
2, 3060, Note_on_c, 0, 71, 103
2, 3068, Note_on_c, 0, 67, 0
2, 3090, Note_on_c, 0, 74, 111
2, 3091, Note_on_c, 0, 71, 0
2, 3116, Note_on_c, 0, 74, 0
2, 3120, Note_on_c, 0, 79, 112
2, 3150, Note_on_c, 0, 74, 104
2, 3154, Note_on_c, 0, 79, 0
2, 3180, Note_on_c, 0, 79, 113
2, 3188, Note_on_c, 0, 74, 0
2, 3210, Note_on_c, 0, 81, 108
2, 3215, Note_on_c, 0, 79, 0
2, 3240, Note_on_c, 0, 83, 116
2, 3240, Note_on_c, 0, 81, 0
2, 3270, Note_on_c, 0, 79, 113
2, 3277, Note_on_c, 0, 83, 0
2, 3300, Note_on_c, 0, 74, 109
2, 3302, Note_on_c, 0, 79, 0
2, 3330, Note_on_c, 0, 71, 98
2, 3331, Note_on_c, 0, 74, 0
2, 3360, Note_on_c, 0, 67, 106
2, 3360, Note_on_c, 0, 71, 0
2, 3387, Note_on_c, 0, 67, 0
2, 3390, Note_on_c, 0, 71, 101
2, 3420, Note_on_c, 0, 74, 104
2, 3428, Note_on_c, 0, 71, 0
2, 3450, Note_on_c, 0, 79, 99
2, 3457, Note_on_c, 0, 74, 0
2, 3480, Note_on_c, 0, 83, 106
2, 3480, Note_on_c, 0, 79, 0
2, 3510, Note_on_c, 0, 79, 99
2, 3517, Note_on_c, 0, 83, 0
2, 3540, Note_on_c, 0, 78, 103
2, 3548, Note_on_c, 0, 79, 0
2, 3568, Note_on_c, 0, 78, 0
